ID_BIKEST,DISTRICT_NUMBER,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD,AD_NAME,AD_NUMBER,CAPACITY,LONGITUDE,LATITUDE
1a,1,Centro,http://www.wikidata.org/entity/Q1763376,16,Sol,http://www.wikidata.org/entity/Q2465181,CALLE DE ALCALA,2,30,-3.701998,40.4171107
1b,1,Centro,http://www.wikidata.org/entity/Q1763376,16,Sol,http://www.wikidata.org/entity/Q2465181,CALLE DE ALCALA,6,30,-3.7015636,40.4172132
2,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE DE MIGUEL MOYA,1,24,-3.7056739,40.42058
3,7,Chamberí,http://www.wikidata.org/entity/Q1763370,72,Arapiles,http://www.wikidata.org/entity/Q10856744,PLAZA DEL CONDE DEL VALLE DE SUCHIL,2,18,-3.7072122,40.4303224
4,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE DE MANUELA MALASAÑA,3,24,-3.7026739,40.4285905
5,1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319,CALLE DE FUENCARRAL,106,27,-3.7020743,40.428362
6,1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319,CALLE DE HORTALEZA,63,24,-3.6984093,40.4241633
7,1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319,CALLE DE HORTALEZA,75,21,-3.6977399,40.4252161
8,7,Chamberí,http://www.wikidata.org/entity/Q1763370,74,Almagro,http://www.wikidata.org/entity/Q10954432,PLAZA DE ALONSO MARTINEZ,6,24,-3.6953067,40.4277143
9,1,Centro,http://www.wikidata.org/entity/Q1763376,11,Palacio,http://www.wikidata.org/entity/Q2136510,PLAZA DE SAN MIGUEL,9,24,-3.7094093,40.4156134
10,1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319,CALLE DEL MARQUES DE LA ENSENADA,16,24,-3.6920816,40.4254027
11,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE DE SAN ANDRES,20,24,-3.7036192,40.4270517
12,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE DE SAN BERNARDO,87,24,-3.7062202,40.4285271
13,1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767,CALLE DEL CONDE DUQUE,22,24,-3.7104727,40.4273652
