ID,HOOD_ID,STREET,CAPACITY,LONGITUDE,LATITUDE
1,16,CALLE DE ALCALA,60,-3.701998,40.4171107
2,15,CALLE DE MIGUEL MOYA,24,-3.7056739,40.42058
3,72,PLAZA DEL CONDE DEL VALLE DE SUCHIL,18,-3.7072122,40.4303224
4,15,CALLE DE MANUELA MALASAÑA,24,-3.7026739,40.4285905
5,14,CALLE DE FUENCARRAL,27,-3.7020743,40.428362
6,14,CALLE DE HORTALEZA,24,-3.6984093,40.4241633
7,14,CALLE DE HORTALEZA,21,-3.6977399,40.4252161
8,74,PLAZA DE ALONSO MARTINEZ,24,-3.6953067,40.4277143
9,11,PLAZA DE SAN MIGUEL,24,-3.7094093,40.4156134
10,14,CALLE DEL MARQUES DE LA ENSENADA,24,-3.6920816,40.4254027
11,15,CALLE DE SAN ANDRES,24,-3.7036192,40.4270517
12,15,CALLE DE SAN BERNARDO,24,-3.7062202,40.4285271
13,15,CALLE DEL CONDE DUQUE,24,-3.7104727,40.4273652
14,92,CALLE DE VENTURA RODRIGUEZ,24,-3.7133768,40.4259913
15,15,CALLE DEL NORTE,21,-3.7073611,40.4262937
16,15,CALLE DE SAN BERNARDO,21,-3.7074955,40.4229421
17,15,PLAZA DE CARLOS CAMBRONERO,24,-3.7041859,40.4231675
18,14,PLAZA DE PEDRO ZEROLO,24,-3.6995679,40.4209206
19,14,CALLE DE PRIM,24,-3.6953951,40.4218997
20,14,CALLE DE ALCALA,30,-3.6952095,40.4191989
22,16,CALLE DE JACOMETREZO,24,-3.7064995,40.4201452
23,11,PLAZA DE SANTO DOMINGO,24,-3.7082901,40.4202137
24,11,CALLE DE CARLOS III,24,-3.7105866,40.417906
25,16,PLAZA DEL CELENQUE,48,-3.7059978,40.4173416
26,14,PLAZA DE LAS SALESAS,24,-3.6945421,40.4238308
27,13,CALLE DE JESUS,27,-3.6955803,40.4132831
28,13,CALLE DE ALCALA,24,-3.6983662,40.4180695
29,13,CALLE DEL MARQUES DE CUBAS,24,-3.6958008,40.416244
30,11,CALLE DE PAVIA,27,-3.7115428,40.4193355
31,16,CALLE MAYOR,27,-3.706625,40.4163446
32,16,PLAZA DE LA PROVINCIA,18,-3.7061355,40.4148511
33,16,CALLE DE LAS CARRETAS,21,-3.7032096,40.4164757
34,13,PLAZA DE JACINTO BENAVENTE,24,-3.7035044,40.4144117
35,11,PLAZA DEL CORDON,24,-3.7103676,40.4141792
36,11,PLAZA DE RAMALES,24,-3.711764,40.4168229
37,11,PLAZA DE SAN FRANCISCO,24,-3.7141234,40.4108606
38,11,CARRERA DE SAN FRANCISCO,24,-3.7114443,40.4112961
39,11,PLAZA DE LA CEBADA,27,-3.7090043,40.4112662
40,12,CALLE DEL CONDE DE ROMANONES,24,-3.7047463,40.4137865
41,12,CALLE DE ATOCHA,18,-3.6989898,40.412228
42,12,CALLE DE SANTA ISABEL,24,-3.6982294,40.4107714
43,12,CALLE DE LAVAPIES,24,-3.7025446,40.4100889
44,12,CALLE DEL MESON DE PAREDES,21,-3.7039138,40.4098162
45,12,GLORIETA DE LA PUERTA DE TOLEDO,21,-3.7111381,40.4069486
46,22,CALLE DE LA RIBERA DE CURTIDORES,24,-3.7071178,40.4054496
47,22,GLORIETA DE EMBAJADORES,24,-3.702755,40.4046233
48,12,GLORIETA DE EMBAJADORES,24,-3.7020997,40.4054473
49,12,RONDA DE ATOCHA,24,-3.6992427,40.4060497
50,12,CALLE DE SANTA ISABEL,24,-3.69322,40.4083102
51,12,PLAZA DEL EMPERADOR CARLOS V,27,-3.6935934,40.4077234
52,13,PLAZA DE SANTA ANA,24,-3.7007838,40.4145181
53,12,CALLE DE VALENCIA,24,-3.7007295,40.4082802
54,14,CALLE DE BARCELO,21,-3.7003435,40.4266233
55,15,PLAZA DE SAN ILDEFONSO,24,-3.7019295,40.4240716
56,16,PLAZA DEL CARMEN,24,-3.7032875,40.418484
57,15,CALLE DE SANTA CRUZ DE MARCENADO,24,-3.7128181,40.4296363
58,14,CALLE DE AUGUSTO FIGUEROA,24,-3.6979458,40.4222601
59,15,CALLE DEL ESPIRITU SANTO,21,-3.7041167,40.4254802
60,35,PLAZA DE LA INDEPENDENCIA,24,-3.6881994,40.4194508
61,34,CALLE DE O'DONNELL,24,-3.675206,40.4214379
62,34,CALLE DE O'DONNELL,24,-3.6724223,40.4212986
63,34,CALLE DE IBIZA,24,-3.6706508,40.4178926
65,35,CALLE DE ANTONIO MAURA,24,-3.6893825,40.4166859
67,13,CALLE DE ALMADEN,24,-3.6931349,40.410829
