DISTRICT_ID,DISTRICT_NAME,WIKIDATA_DISTRICT,NEIGHBOURHOOD_ID,NEIGHBOURHOOD_NAME,WIKIDATA_NEIGHBOURHOOD
1,Centro,http://www.wikidata.org/entity/Q1763376,16,Sol,http://www.wikidata.org/entity/Q2465181
1,Centro,http://www.wikidata.org/entity/Q1763376,16,Sol,http://www.wikidata.org/entity/Q2465181
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
7,Chamberí,http://www.wikidata.org/entity/Q1763370,72,Arapiles,http://www.wikidata.org/entity/Q10856744
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319
1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319
1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319
7,Chamberí,http://www.wikidata.org/entity/Q1763370,74,Almagro,http://www.wikidata.org/entity/Q10954432
1,Centro,http://www.wikidata.org/entity/Q1763376,11,Palacio,http://www.wikidata.org/entity/Q2136510
1,Centro,http://www.wikidata.org/entity/Q1763376,14,Justicia,http://www.wikidata.org/entity/Q1992319
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
9,Moncloa-Aravaca,http://www.wikidata.org/entity/Q2017682,92,Argüelles,http://www.wikidata.org/entity/Q64874
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
1,Centro,http://www.wikidata.org/entity/Q1763376,15,Universidad,http://www.wikidata.org/entity/Q10387767
